000002,AWOL,Hip-Hop,Food,AWOL - A Way Of Life,2008,-74.4056612
000005,AWOL,Hip-Hop,This World,AWOL - A Way Of Life,2008,-74.4056612
000010,Kurt Vile,Pop,Freeway,Constant Hitmaker,2008,0.0
000140,Alec K. Redfearn & the Eyesores,Folk,Queen Of The Wires,The Blind Spot,2008,-71.4128343
000141,Alec K. Redfearn & the Eyesores,Folk,Ohio,Every Man For Himself,2008,-71.4128343
000148,Contradiction,Avant-Garde,Blackout 2,Contradiction,2008,-87.6297982
000182,Ariel Pink's Haunted Graffiti,Lo-Fi,Jules Lost His Jewels,Worn Copy,2008,0.0
000190,Ed Askew,Folk,Castle Of Stars,Blue Piano,2008,-74.0059731
000193,Ed Askew,Folk,Here With You,Blue Piano,2008,-74.0059731
000194,Ed Askew,Folk,All I want to Do,Blue Piano,2008,-74.0059731
000197,Ed Askew,Folk,Piano 2,Blue Piano,2008,-74.0059731
000200,Ed Askew,Folk,Baby Come Home,Blue Piano,2008,-74.0059731
000203,Ed Askew,Folk,Song For R,Blue Piano,2008,-74.0059731
000204,Ed Askew,Folk,My Dream,Blue Piano,2008,-74.0059731
000207,Ed Askew,Folk,Piano 3,Blue Piano,2008,-74.0059731
000210,Ed Askew,Folk,In the French Court,Blue Piano,2008,-74.0059731
000211,Ed Askew,Folk,In America,Blue Piano,2008,-74.0059731
000212,Ed Askew,Folk,When I Arive,Blue Piano,2008,-74.0059731
000213,Au,Pop,Boute,Au,2008,-122.6762071
000255,Bird Names,Rock,We Want to be Old,On Opaque Things,2008,0.0
000256,Black Elk,Metal,Toggle,Black Elk,2008,-122.6762071
000368,Blah Blah Blah,Post-Punk,Vampires,30th Anniversary Blah Blah Blah,2008,0.0
000424,Brian Joseph Davis,Avant-Garde,The Ambient Honky,The Definitive Host,2008,0.0
000459,CAVE,Krautrock,Machines and Muscles,Butthash,2008,-87.6297982
000534,Charles Manson,Folk,I Can See You,One Mind,2008,-122.4875593
000540,Charles Manson,Folk,The Black Pirate,One Mind,2008,-122.4875593
000546,Charles Manson,Folk,If You Have No One,One Mind,2008,-122.4875593
000574,Clockcleaner,Punk,Caliente Queen,Babylon Rules,2008,0.0
000602,Dora Bleu,Folk,Disappearing,Clones of Eros,2009,0.0
000615,EKG,Electroacoustic,Immaterial; side A,Immaterial,2008,-87.6297982
000620,Ed Askew,Folk,Arabesque,Viridian City,2008,-74.0059731
000621,Ed Askew,Folk,Blue Eyed Baby,Rainy Day Song,2008,-74.0059731
000625,Ed Askew,Folk,Climbing To The Top,Rainy Day Song,2008,-74.0059731
000666,Explode Into Colors,Reggae - Dub,Heat,summer 2008 demos,2008,-122.6762071
000667,Explode Into Colors,Reggae - Dub,Sharpen The Knife,summer 2008 demos,2008,-122.6762071
000676,Fanatic,Hip-Hop,The Tension,Change Thoughts (radio edit),2008,0.0
000690,Flying Luttenbachers,Rock,Cataclysm,Cataclysm,2008,-87.6297982
000694,Food For Animals,Hip-Hop,Planet Say (featuring Faust),mp3 single with Faust,2008,-76.6121893
000695,Food For Animals,Hip-Hop,Elephants,Cock Rock Disco 2006 Free Compilation,2008,-76.6121893
000704,Fósforo,Latin America,Mano De Dios,Macondo,2008,-118.2436849
000705,Fósforo,Latin America,Tio Cocodrilo,Macondo,2008,-118.2436849
000706,Fósforo,Latin America,Esto Es Califas,Macondo,2008,-118.2436849
000707,Fósforo,Latin America,Cochabamba,Macondo,2008,-118.2436849
000708,Fósforo,Latin America,Desconocido,Macondo,2008,-118.2436849
000709,Fósforo,Latin America,Cumbia De Obama,Macondo,2008,-118.2436849
000714,Fursaxa,Folk,Circle Moon,The Cult From Moon Mountain,2008,-75.163789
000715,Fursaxa,Folk,Kokopelli,Kobold Moon,2008,-75.163789
000716,Fursaxa,Folk,Saxalainen,Kobold Moon,2008,-75.163789
000718,Fursaxa,Folk,Song Of The Spindle Berry,Kobold Moon,2008,-75.163789
000777,Glove Compartment,Rock,Relaxing,Quickies,2008,-73.95
000814,Hall Of Fame,Folk,Motion Passings,Hall of Fame (2000),2009,0.0
000821,Hecuba,Pop,Sir,"Sir 12"" EP",2008,-118.2436849
000822,Hecuba,Pop,Tom & Jerry,"Sir 12"" EP",2008,-118.2436849
000825,Here Comes A Big Black Cloud!!,Rock;Loud-Rock;Psych-Rock;Indie-Rock,Death March,Pompeii,2008,-122.6762071
000853,Hutzl Ukranian Ensemble,International,Welsinsni Melodyi,Black Mirror: Reflections In Global Musics (1915-1955),2008,0.0
000890,Ilyas Ahmed,Free-Folk,Softly Tomorrow,Century of Moonlight,2008,-122.6762071
000892,Ilyas Ahmed,Free-Folk,Phantom Sky,The Vertigo of Dawn,2008,-122.6762071
000897,Infinite Body,Noise,2,White Hymn,2008,-118.1445155
000993,Jad Fair and Jason Willett,Rock,Or So I've Been Told,The Sounds of Megaphone Unlimited,2008,0.0
000995,Kevin Shields,Noise,No Good Deed Goes Unpunished,The Death of Patience,2008,-118.2436849
000997,Kevin Shields,Noise,Nothing's Ever Ending,The Death of Patience,2008,-118.2436849
000998,Kevin Shields,Noise,Apparently,The Death of Patience,2008,-118.2436849
001039,Lightning Bolt,Noise-Rock,13 Monsters,Ride the Skies,2008,-71.4128343
001040,Lightning Bolt,Noise-Rock,Dracula Mountain,Wonderful Rainbow,2008,-71.4128343
001066,Lucky Dragons,Audio Collage,Helicopter de Cristal,Norteñas,2008,-118.2436849
001069,Lucky Dragons,Audio Collage,Un Lagrima en la Discoteca,Norteñas,2008,-118.2436849
001073,Lucky Dragons,Audio Collage,Onda Tocadisco,Norteñas,2008,-118.2436849
001075,Lucky Dragons,Audio Collage,Painful Corazon,Norteñas,2008,-118.2436849
001082,M. Nguyen Van Minh-Con,International,Nam Nhi-tu,Black Mirror: Reflections In Global Musics (1915-1955),2008,0.0
001083,Magic Lantern,Avant-Garde,Feasting on Energy,High Beams,2008,-118.1956168
001087,Mahjongg,Rock,Tell The Police The Truth,Kontpab,2008,-87.6297982
001102,Mary Halvorson and Weasel Walter,Rock,Rare Vodka from the Fourteenth Century,Opulence,2008,-87.6297982
001193,Mount Eerie,Folk,Wooly Mammoth's Absence,Seven New Songs,2008,-122.6126718
001195,Mount Eerie,Folk,With My Hands Out,Seven New Songs,2008,-122.6126718
001196,Mount Eerie,Folk,2 Blonde Braids,Seven New Songs,2008,-122.6126718
001197,Mount Eerie,Folk,My Burning,Seven New Songs,2008,-122.6126718
001249,Nautical Almanac,Noise,"""Cleanse Bath"" 10"" Metal Laquer",Handcut Record Transfers,2008,-76.6121893
001259,Nautical Almanac,Noise,Rolling In The Green,Cover The Earth,2008,-76.6121893
001270,Necropolis,Punk,Cocksuckerbastardmotherfucker,"Workingman / Cocksuckerbastardmotherfucker 7""",2008,-82.9987942
001276,Negativland,Audio Collage,Richard Nixon Died Today,Thigmotactic,2008,-122.4194155
001277,Negativland,Audio Collage,No Business,No Business,2008,-122.4194155
001278,Negativland,Audio Collage,Downloading,No Business,2008,-122.4194155
001417,Pierced Arrows,Rock,Guns of Thunder,Straight To the Heart,2008,-122.5703692
001427,Plastic Crimewave Sound,Rock,I Feel Evils,Painted Shadows,2008,-87.6297982
001443,Pocahaunted,Drone,Time Fist,Bored Fortress Single Series Split w. Charalambides,2008,-118.2117257
001482,Rainbro,Electronic,Reindeer Dance,Vectors,2008,0.0
001510,Ric Royer &amp; G. Lucas Crane,Noise,Zombie,They Lured Us Into the Basement,2008,-76.6121893
001544,Samara Lubelski,Psych-Folk,Song of The Stations,In The Valley,2008,-74.0059731
001642,So Cow,Pop,Hrz,Wackity Schmackity Doo,2008,-8.8556275
001644,So Cow,Pop,Outskirts,Wackity Schmackity Doo,2008,-8.8556275
001649,So Cow,Pop,Inis Meain,Wackity Schmackity Doo,2008,-8.8556275
001661,So Cow,Pop,Only Fools and Horses Theme,Wackity Schmackity Doo,2008,-8.8556275
001663,Softboiled Eggies,Pop,So High,Egg Soldiers,2008,-118.2436849
001666,Softboiled Eggies,Pop,She Fell Through the Trees,Egg Soldiers,2008,-118.2436849
001673,Solemn Man,Field Recordings,Track 07,Thee Haunted Cobblestone Sunset Concert Series #10,2008,-71.4128343
001680,The Sounds of Taraab,International,Bashraf Salama,Zanzibar; New York,2008,-74.007124
001681,The Sounds of Taraab,International,Daka Kozi Manowe,Zanzibar; New York,2008,-74.007124
001682,The Sounds of Taraab,International,Nie Zama Nie Sema,Zanzibar; New York,2008,-74.007124
001683,The Sounds of Taraab,International,Mapenzi Matamu,Zanzibar; New York,2008,-74.007124
001684,The Sounds of Taraab,International,Mahaba Wa Taka Nini,Zanzibar; New York,2008,-74.007124
001685,The Sounds of Taraab,International,Eni Wana Damu,Zanzibar; New York,2008,-74.007124
001686,The Sounds of Taraab,International,Rufiji,Zanzibar; New York,2008,-74.007124
001687,The Sounds of Taraab,International,Lala; Mpenzi Lala,Zanzibar; New York,2008,-74.007124
001688,The Sounds of Taraab,International,Sishituki,Zanzibar; New York,2008,-74.007124
001689,The Sounds of Taraab,International,Unalo,Zanzibar; New York,2008,-74.007124
001701,Spires That in the Sunset Rise,Folk,Clouds,This is Fire,2008,-87.6297982
001702,Spires That in the Sunset Rise,Folk,Java Pop,Curse the Traced Bird,2008,-87.6297982
001703,Spires That in the Sunset Rise,Folk,Equus Haar,Curse the Traced Bird,2008,-87.6297982
001704,Spires That in the Sunset Rise,Folk,Morning Song,This is Fire,2008,-87.6297982
001706,Strapping Fieldhands,Rock,In the Pineys,In the Pineys,2008,-75.163789
001720,Sun Araw,Psych-Rock,Harken Sunshine,The Phynx,2008,-118.2436849
001732,Teeth Mountain,Experimental,Black Jerusalem,Teeth Mtn CD-R,2008,-76.6121893
001733,Teeth Mountain,Experimental,Keinsein,Teeth Mtn CD-R,2008,-76.6121893
001735,Teeth Mountain,Experimental,Ghost Science,Teeth Mtn CD-R,2008,-76.6121893
001736,Teeth Mountain,Experimental,Soft Beast,Teeth Mtn CD-R,2008,-76.6121893
001883,The Yolks,Rock,I Do What I Do,Introducing The Yolks,2008,-87.632409
001891,Thee Oh Sees,Rock,Kids In Cars,Peanut Butter Oven EP,2008,-122.4194155
001893,Tommy Jay,Folk,Memories,Tommy Jay's Tall Tales Of Trauma,2008,-82.9987942
001924,The Twin Atlas,Folk,Calling For You,Inside the Skate Scandal,2008,-74.4056612
001925,The Twin Atlas,Folk,Happy At The Wheel,Magic Car Wash,2008,-74.4056612
001929,U.S. Girls,Avant-Garde,Buzz Chant,Spleencoffin presents: Ladyz in Noyz,2009,0.0
001930,Upsilon Acrux,Progressive,So Thereby...and furthermore...thus henceforth...Mono,Galapagos Momentum,2008,-118.2436849
002012,White Mice,Noise,The White Mice,Assphixxxeateshun,2008,-71.4128343
002096,Grouper,Experimental,title unknown,1st CD-R,2008,-122.6762071
002097,Hall Of Fame,Folk,My Sweet Miasma,Paradise Now,2008,0.0
002099,luc,Experimental Pop,....like bacon sundays,peaofthesea,2008,-122.6762071
003263,Ai Aso,Folk,A Date,Live at WFMU on Michael Goodstein's Show on 9/27/2008,2008,139.7035494
003264,Ai Aso,Folk,Tee Te Te,Live at WFMU on Michael Goodstein's Show on 9/27/2008,2008,139.7035494
003265,Ai Aso,Folk,Lavender,Live at WFMU on Michael Goodstein's Show on 9/27/2008,2008,139.7035494
003266,Ai Aso,Folk,Land,Live at WFMU on Michael Goodstein's Show on 9/27/2008,2008,139.7035494
003270,Arborea,Folk,Song for Obol,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,2009,0.0
003271,Arborea,Folk,Beirut,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,2009,0.0
003272,Arborea,Folk,Seadrift,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,2009,0.0
003273,Arborea,Folk,Redbird,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,2009,0.0
003274,Arborea,Folk,Forewarned,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,2009,0.0
003492,Citay,Rock,On The Wings,Live at WFMU on Liz Berg's Show on 3/24/2008,2008,-122.4194155
003532,Cryptacize,Experimental Pop,Heaven Is Human,Live at WFMU on Liz Berg's Show on 6/13/2008,2008,-122.2711137
003533,Cryptacize,Experimental Pop,New Spell,Live at WFMU on Liz Berg's Show on 6/13/2008,2008,-122.2711137
003534,Cryptacize,Experimental Pop,Cosmic Sing-a-long,Live at WFMU on Liz Berg's Show on 6/13/2008,2008,-122.2711137
003535,Cryptacize,Experimental Pop,No Coins,Live at WFMU on Liz Berg's Show on 6/13/2008,2008,-122.2711137
003537,Cryptacize,Experimental Pop,We'll Never Dream Again,Live at WFMU on Liz Berg's Show on 6/13/2008,2008,-122.2711137
003538,Cryptacize,Experimental Pop,Say You Will,Live at WFMU on Liz Berg's Show on 6/13/2008,2008,-122.2711137
003573,Dan Deacon,Electronic,Piggled,Live at WFMU on OCDJ's Show on 7/23/2003,2008,-76.6121893
003598,Ed Askew,Folk,Little Eyes,Live at WFMU 10/30/07 on Hatch's Show,2009,-74.0059731
003624,Fallen Leaves,Rock;Post-Punk,Days of Summer,Live at WFMU on Evan Davies's Show on 9/16/2008,2008,-0.1276831
003707,Gary Higgins,Folk,Stable the Spuds,Live at WFMU on Brian Turner's Show on 7/26/2005,2008,0.0
003708,Gary Higgins,Folk,Thicker Than A Smokey,Live at WFMU on Brian Turner's Show on 7/26/2005,2008,0.0
003720,Indian Jewelry,Noise-Rock;Psych-Rock,Walking on the Water,Live at WFMU on Liz B's Show on 7/7/2008,2008,-95.3693896
003721,Indian Jewelry,Noise-Rock;Psych-Rock,Pow Wow,Live at WFMU on Liz B's Show on 7/7/2008,2008,-95.3693896
